# Particle  # LHE PID
gluon,			500000000
0++, 			500000001
2++, 			500000002
0-+, 			500000003
1+-,			500000004
2-+, 			500000005
3+-, 			500000006
3++, 			500000007
1--, 			500000008
2--, 			500000009
3--, 			500000010
2+-, 			500000011
0+-,			500000012
gluon plasma,	500000013
